code_dept,annee,taux_chomage_moyen,taux_chomage_min,taux_chomage_max,nb_trimestres
08,1994,12.72,12.3,13.0,4
08,1995,11.95,11.7,12.3,4
08,1996,13.3,12.7,13.6,4
08,1997,13.68,13.4,13.8,4
08,1998,12.62,12.5,12.9,4
08,1999,12.25,11.7,12.5,4
08,2000,10.85,10.6,11.3,4
08,2001,10.3,10.1,10.6,4
08,2002,10.2,10.1,10.3,4
08,2003,11.05,10.6,11.6,4
08,2004,11.4,11.3,11.7,4
08,2005,11.42,11.0,11.9,4
08,2006,11.8,11.0,12.2,4
08,2007,10.32,9.7,10.9,4
08,2008,9.75,9.4,10.3,4
08,2009,11.8,11.6,12.3,4
08,2010,10.85,10.5,11.2,4
08,2011,10.75,10.4,11.2,4
08,2012,11.82,11.3,12.4,4
08,2013,12.5,12.1,12.7,4
08,2014,12.22,12.1,12.6,4
08,2015,12.48,12.1,12.8,4
08,2016,12.0,11.8,12.2,4
08,2017,11.05,10.4,11.5,4
08,2018,10.42,10.2,10.7,4
08,2019,10.0,9.9,10.2,4
08,2020,9.6,8.5,10.6,4
08,2021,9.48,9.3,9.7,4
08,2022,9.3,9.1,9.5,4
08,2023,9.62,9.3,9.9,4
08,2024,9.75,9.5,9.9,4
08,2025,9.8,9.6,10.1,4
09,1982,7.35,7.3,7.4,4
09,1983,7.08,6.9,7.3,4
09,1984,7.68,7.3,7.9,4
09,1985,7.55,7.4,7.8,4
09,1986,7.12,7.1,7.2,4
09,1987,7.52,7.5,7.6,4
09,1988,7.28,7.0,7.5,4
09,1989,7.12,6.9,7.3,4
09,1990,7.6,7.4,7.8,4
09,1991,7.75,7.5,8.0,4
09,1992,8.4,8.0,8.7,4
09,1993,9.3,8.8,9.8,4
09,1994,10.05,9.9,10.2,4
09,1995,9.55,9.4,9.8,4
09,1996,9.95,9.7,10.1,4
09,1997,10.22,10.2,10.3,4
09,1998,9.95,9.8,10.1,4
09,1999,9.98,9.7,10.1,4
09,2000,9.1,8.7,9.5,4
09,2001,8.28,8.0,8.6,4
09,2002,7.98,7.9,8.0,4
09,2003,8.38,8.3,8.6,4
09,2004,8.78,8.6,8.9,4
09,2005,9.22,8.8,9.6,4
09,2006,9.57,9.3,9.7,4
09,2007,8.88,8.4,9.4,4
09,2008,8.3,7.9,8.7,4
09,2009,10.15,9.6,10.6,4
09,2010,10.3,10.2,10.4,4
09,2011,10.55,10.2,11.1,4
09,2012,11.58,11.3,12.1,4
09,2013,12.28,12.0,12.5,4
09,2014,12.08,11.9,12.4,4
09,2015,12.28,12.1,12.5,4
09,2016,11.95,11.8,12.1,4
09,2017,11.48,11.1,11.7,4
09,2018,11.18,10.9,11.4,4
09,2019,10.6,10.3,11.0,4
09,2020,9.8,8.6,10.9,4
09,2021,9.7,9.3,10.1,4
09,2022,9.35,9.3,9.5,4
09,2023,9.38,9.2,9.5,4
09,2024,9.18,9.0,9.4,4
09,2025,9.28,9.1,9.4,4
10,1982,6.08,6.0,6.2,4
10,1983,6.08,5.8,6.5,4
10,1984,7.75,6.9,8.4,4
10,1985,8.75,8.5,9.0,4
10,1986,8.8,8.7,8.9,4
10,1987,8.9,8.9,8.9,4
10,1988,8.72,8.6,8.9,4
10,1989,7.98,7.8,8.3,4
10,1990,7.6,7.5,7.7,4
10,1991,7.95,7.6,8.4,4
10,1992,8.72,8.6,8.9,4
10,1993,9.75,9.2,10.3,4
10,1994,10.48,10.2,10.7,4
10,1995,10.07,10.0,10.2,4
10,1996,10.4,10.3,10.5,4
10,1997,10.38,10.1,10.6,4
10,1998,9.6,9.5,9.7,4
10,1999,9.3,8.9,9.6,4
10,2000,8.02,7.7,8.5,4
10,2001,7.68,7.6,7.8,4
10,2002,7.9,7.8,8.0,4
10,2003,8.72,8.4,9.3,4
10,2004,9.05,9.0,9.2,4
10,2005,9.1,8.7,9.5,4
10,2006,9.3,8.7,9.7,4
10,2007,8.2,7.8,8.7,4
10,2008,7.75,7.5,8.0,4
10,2009,9.15,8.7,9.5,4
10,2010,9.28,9.2,9.4,4
10,2011,9.75,9.5,10.2,4
10,2012,10.78,10.2,11.4,4
10,2013,11.75,11.6,11.9,4
10,2014,12.15,11.9,12.6,4
10,2015,12.72,12.5,13.0,4
10,2016,12.62,12.4,12.9,4
10,2017,11.95,11.3,12.4,4
10,2018,11.35,11.0,11.9,4
10,2019,10.68,10.3,11.2,4
10,2020,9.93,8.8,10.8,4
10,2021,9.93,9.5,10.3,4
10,2022,9.45,9.3,9.6,4
10,2023,9.52,9.3,9.7,4
10,2024,9.52,9.2,9.7,4
10,2025,9.38,9.2,9.6,4
11,1982,7.58,7.4,7.8,4
11,1983,8.28,8.0,8.6,4
11,1984,9.82,9.3,10.4,4
11,1985,10.1,9.7,10.5,4
11,1986,10.07,9.7,10.4,4
11,1987,10.32,10.2,10.5,4
11,1988,10.15,10.0,10.2,4
11,1989,10.1,10.0,10.2,4
11,1990,10.72,10.6,10.9,4
11,1991,10.98,10.8,11.2,4
11,1992,11.35,11.0,11.6,4
11,1993,11.12,10.9,11.5,4
11,1994,11.55,11.4,11.6,4
11,1995,11.25,11.1,11.5,4
11,1996,12.2,11.9,12.5,4
11,1997,12.68,12.6,12.7,4
11,1998,12.9,12.7,13.1,4
11,1999,12.78,12.3,13.1,4
11,2000,11.28,10.6,11.9,4
11,2001,10.07,10.0,10.2,4
11,2002,9.75,9.6,10.0,4
11,2003,9.98,9.7,10.3,4
11,2004,10.48,10.4,10.6,4
11,2005,10.5,10.1,10.9,4
11,2006,10.8,10.5,11.0,4
11,2007,10.1,9.7,10.5,4
11,2008,9.72,9.2,10.3,4
11,2009,11.48,10.9,12.0,4
11,2010,11.98,11.8,12.1,4
11,2011,12.2,12.0,12.5,4
11,2012,13.05,12.7,13.7,4
11,2013,13.92,13.8,14.1,4
11,2014,14.1,13.9,14.4,4
11,2015,14.2,14.0,14.5,4
11,2016,13.58,13.3,13.9,4
11,2017,12.65,12.3,12.9,4
11,2018,12.32,12.1,12.6,4
11,2019,11.55,11.0,12.2,4
11,2020,10.68,9.5,11.8,4
11,2021,10.72,10.2,11.0,4
11,2022,10.05,9.9,10.2,4
11,2023,10.15,9.9,10.4,4
11,2024,10.25,10.1,10.4,4
11,2025,10.45,10.2,10.8,4
12,1982,5.38,5.2,5.5,4
12,1983,5.72,5.6,6.0,4
12,1984,6.35,6.2,6.5,4
12,1985,6.5,6.4,6.6,4
12,1986,6.4,6.3,6.5,4
12,1987,6.25,6.1,6.4,4
12,1988,5.92,5.7,6.1,4
12,1989,5.48,5.4,5.6,4
12,1990,5.42,5.3,5.5,4
12,1991,5.3,5.3,5.3,4
12,1992,5.52,5.4,5.6,4
12,1993,5.7,5.5,5.9,4
12,1994,6.0,5.9,6.1,4
12,1995,5.72,5.6,5.9,4
12,1996,6.18,6.0,6.3,4
12,1997,6.22,6.2,6.3,4
12,1998,5.98,5.9,6.1,4
12,1999,5.9,5.7,6.0,4
12,2000,5.22,4.9,5.5,4
12,2001,4.68,4.6,4.7,4
12,2002,4.8,4.7,4.9,4
12,2003,5.15,5.1,5.2,4
12,2004,5.22,5.2,5.3,4
12,2005,5.3,5.1,5.5,4
12,2006,5.58,5.3,5.7,4
12,2007,5.0,4.8,5.2,4
12,2008,4.92,4.6,5.3,4
12,2009,6.2,5.9,6.5,4
12,2010,6.32,6.3,6.4,4
12,2011,6.22,6.1,6.4,4
12,2012,6.82,6.4,7.3,4
12,2013,7.5,7.3,7.7,4
12,2014,7.32,7.3,7.4,4
12,2015,7.45,7.3,7.5,4
12,2016,7.3,7.2,7.4,4
12,2017,6.92,6.6,7.1,4
12,2018,6.6,6.4,6.7,4
12,2019,6.35,6.3,6.5,4
12,2020,6.1,5.6,6.8,4
12,2021,6.0,5.7,6.2,4
12,2022,5.7,5.6,5.9,4
12,2023,5.72,5.6,5.8,4
12,2024,5.6,5.4,5.8,4
12,2025,5.6,5.5,5.8,4
13,1982,8.93,8.8,9.2,4
13,1983,9.07,8.9,9.2,4
13,1984,10.45,10.0,10.9,4
13,1985,11.02,10.9,11.1,4
13,1986,11.18,10.8,11.5,4
13,1987,11.6,11.5,11.7,4
13,1988,11.6,11.5,11.7,4
13,1989,11.1,11.0,11.3,4
13,1990,11.3,11.2,11.4,4
13,1991,11.7,11.3,12.2,4
13,1992,13.02,12.6,13.5,4
13,1993,14.25,13.7,14.7,4
13,1994,15.05,14.9,15.2,4
13,1995,14.48,14.3,14.8,4
13,1996,15.1,14.7,15.4,4
13,1997,15.68,15.6,15.8,4
13,1998,15.3,15.2,15.4,4
13,1999,15.27,14.7,15.6,4
13,2000,13.42,12.8,14.1,4
13,2001,12.12,11.8,12.4,4
13,2002,11.15,10.9,11.5,4
13,2003,11.25,11.0,11.4,4
13,2004,11.18,11.0,11.4,4
13,2005,11.15,10.8,11.5,4
13,2006,11.38,10.9,11.7,4
13,2007,10.62,9.9,11.2,4
13,2008,9.5,9.4,9.7,4
13,2009,11.05,10.5,11.6,4
13,2010,11.38,11.3,11.5,4
13,2011,11.52,11.4,11.7,4
13,2012,11.85,11.7,12.1,4
13,2013,12.18,11.9,12.4,4
13,2014,12.0,11.9,12.2,4
13,2015,12.02,11.9,12.2,4
13,2016,11.72,11.5,12.0,4
13,2017,11.3,10.9,11.5,4
13,2018,10.92,10.6,11.3,4
13,2019,10.1,9.7,10.6,4
13,2020,9.35,8.4,10.3,4
13,2021,9.2,8.8,9.5,4
13,2022,8.75,8.6,8.9,4
13,2023,8.6,8.5,8.7,4
13,2024,8.5,8.3,8.7,4
13,2025,8.78,8.6,9.0,4
14,1982,8.98,8.9,9.1,4
14,1983,9.25,9.1,9.5,4
14,1984,10.32,9.9,10.7,4
14,1985,10.7,10.4,10.9,4
14,1986,10.4,10.3,10.5,4
14,1987,10.65,10.6,10.7,4
14,1988,9.82,9.5,10.4,4
14,1989,8.82,8.7,9.1,4
14,1990,8.38,8.2,8.6,4
14,1991,8.32,8.1,8.6,4
14,1992,8.93,8.7,9.2,4
14,1993,9.88,9.4,10.3,4
14,1994,10.5,10.3,10.6,4
14,1995,9.82,9.5,10.1,4
14,1996,10.8,10.6,10.9,4
14,1997,10.95,10.8,11.0,4
14,1998,10.22,10.1,10.5,4
14,1999,9.78,9.3,10.1,4
14,2000,8.38,7.9,8.9,4
14,2001,7.7,7.6,7.8,4
14,2002,7.72,7.6,7.8,4
14,2003,8.48,8.3,8.8,4
14,2004,8.68,8.6,8.8,4
